# 1:time 2:hplus 3:hcross
1.0010400000e-02 0.0000000000e+00 0.0000000000e+00
1.0020800000e-02 1.7206851200e-03 -3.1877873419e-11
1.0031200000e-02 1.0677122755e-03 4.9204433865e-08
1.0041600000e-02 1.8030875001e-03 3.2963677834e-07
1.0052000000e-02 1.4068601332e-03 1.0433879269e-07
1.0062400000e-02 2.4291979490e-03 -4.3859752653e-07
1.0072800000e-02 2.1113535266e-03 4.0684379156e-07
1.0083200000e-02 -1.2267175665e-03 5.3326386931e-08
1.0093600000e-02 -1.9036611707e-03 -2.1989405883e-07
1.0104000000e-02 1.9233661392e-04 7.9377611668e-07
1.0114400000e-02 -1.2630889865e-04 4.9300264831e-07
1.0124800000e-02 -2.9593576472e-03 4.1317851893e-07
1.0135200000e-02 -4.5892095435e-03 2.3548094247e-07
1.0145600000e-02 -3.8513373734e-03 -4.7054466332e-07
1.0155074459e-02 -2.8063141649e-03 -5.7958031453e-07
1.0164439810e-02 -3.2627168813e-03 1.0806013729e-07
1.0173741368e-02 -4.4413835479e-03 -4.0190794180e-07
1.0183012578e-02 -5.0884459556e-03 -5.6920297804e-07
1.0192275232e-02 -4.9606260914e-03 5.9499841488e-07
1.0201612617e-02 -4.5620648858e-03 1.0302755629e-06
1.0211041854e-02 -4.2390919560e-03 5.1533987953e-07
1.0220353140e-02 -3.9567086839e-03 -1.0166901873e-07
1.0229835600e-02 -3.6789739021e-03 -4.7069241881e-08
1.0239203285e-02 -3.4165614127e-03 -3.6515802067e-07
1.0248501426e-02 -3.2117814497e-03 1.8266371897e-07
1.0257771029e-02 -2.9508353423e-03 2.5214107557e-07
1.0267037671e-02 -2.5847251842e-03 -5.3009798943e-07
1.0276305321e-02 -2.3485717201e-03 -1.0193939987e-06
1.0285586021e-02 -2.3365731636e-03 -9.2951210336e-07
1.0294849068e-02 -2.3342072655e-03 -5.0373261913e-07
1.0304144418e-02 -2.2127269661e-03 -9.6527309171e-07
1.0313463484e-02 -2.1420371810e-03 -2.0672334396e-07
1.0322741650e-02 -2.2925004898e-03 3.2397573227e-07
1.0332014312e-02 -2.5794909035e-03 -1.9532301758e-07
1.0341309922e-02 -2.8175997920e-03 6.8935554779e-07
1.0350567199e-02 -2.9740636858e-03 6.9483177501e-07
1.0359840479e-02 -3.2079503741e-03 -1.1883624041e-07
1.0369148164e-02 -3.6329840155e-03 3.3745379447e-07
1.0378417249e-02 -4.1427657771e-03 6.2812569559e-07
1.0387673699e-02 -4.5564943059e-03 7.5842546198e-07
1.0396936060e-02 -4.8059350394e-03 3.2911521534e-07
1.0406196793e-02 -4.9294104273e-03 1.3150989547e-07
1.0415464601e-02 -4.9890132160e-03 8.6507812634e-07
1.0424729562e-02 -5.0030064255e-03 1.2943572845e-06
1.0433997994e-02 -4.9321575094e-03 9.0523408491e-07
1.0443258475e-02 -4.7400600990e-03 -2.5769133278e-07
