# 1:time 2:hplus 3:hcross
1.0010400000e-02 0.0000000000e+00 0.0000000000e+00
1.0020800000e-02 1.5427799011e-03 -7.3629572236e-08
1.0031200000e-02 5.0064048660e-04 -7.2045685765e-07
1.0041600000e-02 8.2513405988e-04 8.0434021889e-07
1.0052000000e-02 -9.2227842633e-05 2.0138054609e-06
1.0062400000e-02 2.1867959275e-04 1.3687874068e-06
1.0072800000e-02 -3.2639022667e-04 -7.2521319847e-08
1.0083200000e-02 -3.6444244270e-03 -1.1483456330e-07
1.0093600000e-02 -4.7939353613e-03 6.6939205225e-07
1.0104000000e-02 -3.2812513713e-03 -9.1495490158e-07
1.0114400000e-02 -3.5423658281e-03 6.4522680908e-07
1.0124800000e-02 -5.8703740596e-03 1.6734905856e-06
1.0135200000e-02 -7.0879938527e-03 -3.2938839156e-07
1.0145600000e-02 -6.0015017759e-03 5.4399301693e-07
1.0155726277e-02 -4.5752783459e-03 -3.2661055499e-08
1.0165136321e-02 -4.5103554453e-03 -3.2992448729e-06
1.0174485449e-02 -5.1285550304e-03 -3.2413043854e-06
1.0183756766e-02 -5.1757699128e-03 -6.9318053631e-07
1.0193025713e-02 -4.5366664438e-03 -2.0800403837e-07
1.0202289431e-02 -3.8045912106e-03 1.0243765402e-07
1.0211570588e-02 -3.3084593739e-03 -6.2592711303e-08
1.0220885521e-02 -2.9393529098e-03 -1.1861764492e-06
1.0230153224e-02 -2.5088073258e-03 3.8022563455e-07
1.0239410326e-02 -2.0475421787e-03 7.4594919766e-07
1.0248699560e-02 -1.7013156122e-03 3.5287809477e-07
1.0257988810e-02 -1.4559558855e-03 3.8559129551e-07
1.0267250425e-02 -1.2252490951e-03 -3.2501115296e-07
1.0276520046e-02 -1.0680773625e-03 -1.5197287145e-06
1.0285791886e-02 -1.1067752750e-03 -1.5943668865e-06
1.0295060601e-02 -1.2789920617e-03 -1.1838566679e-06
1.0304314447e-02 -1.4788583830e-03 5.4548262307e-07
1.0313571280e-02 -1.7138335606e-03 1.3367063414e-06
1.0322824818e-02 -2.0451523979e-03 -1.7530052575e-07
1.0332088518e-02 -2.5216937067e-03 2.2494409252e-07
1.0341347362e-02 -3.1055769975e-03 -1.1318867381e-07
1.0350604214e-02 -3.6877599145e-03 -1.0149600766e-07
1.0359867619e-02 -4.2287657896e-03 1.1028403381e-06
1.0369126889e-02 -4.7808921729e-03 7.3426945232e-07
1.0378405476e-02 -5.3640237384e-03 2.3094520918e-07
1.0387662061e-02 -5.8802036479e-03 1.6449159868e-07
1.0396917427e-02 -6.1765593179e-03 8.6220774770e-08
1.0406174338e-02 -6.2246314143e-03 1.2232084944e-06
1.0415427788e-02 -6.1277965148e-03 1.6795849967e-06
1.0424680285e-02 -5.9689974840e-03 7.3469982476e-07
1.0433934463e-02 -5.7604770535e-03 -6.4670745088e-07
1.0443187741e-02 -5.4433489528e-03 -2.6350516178e-07
1.0452447641e-02 -4.9744912625e-03 1.7549735106e-06
1.0461742660e-02 -4.4153419916e-03 2.4838413875e-06
1.0471013820e-02 -3.8434793347e-03 -1.8626685126e-07
1.0480271341e-02 -3.3005023507e-03 -9.2316977757e-07
1.0489539783e-02 -2.7880734178e-03 -1.2403058239e-07
1.0498796527e-02 -2.2938877037e-03 -1.1278794619e-06
1.0508050619e-02 -1.8348108459e-03 1.5249264285e-07
1.0517311646e-02 -1.4274282159e-03 -7.1051403850e-09
1.0526565575e-02 -1.0667248920e-03 -5.3940971919e-07
1.0535820293e-02 -7.5135717782e-04 1.7399122005e-07
1.0545074448e-02 -5.0389756480e-04 -2.1300463998e-06
1.0554328848e-02 -3.7293996261e-04 -4.0411297642e-06
1.0563583160e-02 -3.7812240420e-04 -2.8849556005e-06
1.0572836877e-02 -4.9520611330e-04 -1.2838681214e-06
1.0582090805e-02 -7.0439642153e-04 -1.0021539547e-06
1.0591348704e-02 -1.0105964559e-03 -3.7088936702e-06
1.0600608221e-02 -1.4287939450e-03 -4.2279910788e-06
1.0609862262e-02 -1.9458051970e-03 -2.9814969431e-06
1.0619119753e-02 -2.5171547827e-03 -2.7298214200e-06
1.0628377030e-02 -3.1022428782e-03 -2.4469938775e-06
1.0637638841e-02 -3.6735405323e-03 -3.6242992619e-06
1.0646901068e-02 -4.2020603916e-03 -4.0731971069e-06
1.0656163164e-02 -4.6469461013e-03 -4.0076099816e-06
1.0665419171e-02 -4.9703090990e-03 -4.5285776495e-06
1.0674672985e-02 -5.1612845145e-03 -4.0777041945e-06
1.0683927186e-02 -5.2386602548e-03 -3.2369033412e-06
1.0693183494e-02 -5.2121895133e-03 -2.4724644738e-06
1.0702439788e-02 -5.0782484836e-03 -2.3494083871e-06
1.0711699832e-02 -4.8423588593e-03 -4.3699747428e-06
1.0720955634e-02 -4.5150825549e-03 -4.3948805826e-06
