# 1:time 2:hplus 3:hcross
1.0010400000e-02 0.0000000000e+00 0.0000000000e+00
1.0020800000e-02 2.1298443367e-03 -1.0324306680e-07
1.0031200000e-02 1.0383167948e-03 -7.6630734246e-08
1.0041600000e-02 1.2738935505e-03 -5.1760084475e-07
1.0052000000e-02 2.7100620945e-04 -6.4954263892e-07
1.0062400000e-02 5.5012232074e-04 8.2876330492e-08
1.0072800000e-02 -3.0386212456e-04 4.8935049519e-07
1.0083200000e-02 -3.9235120154e-03 -1.1751247338e-07
1.0093600000e-02 -5.0341299011e-03 1.0181630170e-07
1.0104000000e-02 -3.4840759530e-03 1.3041479101e-06
1.0114400000e-02 -3.9831261900e-03 1.5087859156e-06
1.0124800000e-02 -6.5484880502e-03 7.7720077174e-07
1.0135200000e-02 -7.6959119942e-03 5.4869219008e-07
1.0145600000e-02 -6.4230293058e-03 3.2478521391e-07
1.0155644932e-02 -4.9722245275e-03 -9.2024822504e-09
1.0164997664e-02 -4.9966533546e-03 -6.5646978913e-07
1.0174348296e-02 -5.6215192547e-03 -9.3784045091e-07
1.0183616356e-02 -5.5869694568e-03 -1.0578052302e-06
1.0192883162e-02 -4.8061163532e-03 -1.2060355864e-06
1.0202150140e-02 -3.9572443630e-03 -3.8432888655e-07
1.0211407002e-02 -3.4243404403e-03 -1.0150513925e-06
1.0220661962e-02 -3.0294282949e-03 -1.2006521242e-06
1.0229922416e-02 -2.5041722051e-03 -7.0054321081e-07
1.0239180492e-02 -1.8461261219e-03 3.0459701908e-07
1.0248447937e-02 -1.2900263013e-03 1.1803433041e-06
1.0257733428e-02 -9.0752260685e-04 -2.2250398534e-07
1.0267007960e-02 -5.4856077314e-04 -7.4568235363e-07
1.0276263195e-02 -2.0479053838e-04 2.9865075467e-07
1.0285517644e-02 -4.9321637418e-06 -8.8702234684e-07
1.0294777090e-02 4.4093731612e-05 -1.5449062371e-06
1.0304037229e-02 1.0658436114e-05 -4.6304351725e-07
1.0313304402e-02 -1.0959111882e-04 8.9950168119e-07
1.0322568335e-02 -3.4019526576e-04 5.5976735937e-07
1.0331836327e-02 -6.5104175754e-04 -1.1506280933e-06
1.0341123097e-02 -1.0567909668e-03 -3.8631784284e-07
1.0350409258e-02 -1.6052132809e-03 4.6646782632e-07
1.0359678824e-02 -2.2765307806e-03 -7.4199827335e-07
1.0368937076e-02 -3.0009369774e-03 -1.2553266188e-06
1.0378195229e-02 -3.7287738968e-03 1.4059795618e-06
1.0387464163e-02 -4.4206622785e-03 9.7919808042e-07
1.0396735624e-02 -5.0134011787e-03 -1.0318793812e-06
1.0406019069e-02 -5.4594226592e-03 -5.4354120336e-07
1.0415278638e-02 -5.7678625722e-03 1.0282720497e-06
1.0424534216e-02 -5.9464846826e-03 1.2154277765e-06
1.0433790824e-02 -5.9611925277e-03 2.1539157885e-06
1.0443045938e-02 -5.8089085718e-03 2.8078723534e-06
1.0452300585e-02 -5.5388781168e-03 2.0095688044e-06
1.0461562833e-02 -5.1915587651e-03 3.4433899169e-06
1.0470833605e-02 -4.7643604176e-03 4.5518140952e-06
1.0480090155e-02 -4.2601672678e-03 4.9254932569e-06
1.0489357166e-02 -3.7134164351e-03 5.0915820624e-06
1.0498619711e-02 -3.1645994925e-03 5.0938232473e-06
1.0507877757e-02 -2.6511751911e-03 2.7852054450e-06
1.0517134009e-02 -2.1758224679e-03 3.8227080740e-06
1.0526391594e-02 -1.7284412889e-03 5.8598645762e-06
1.0535663591e-02 -1.3080686191e-03 4.9183099772e-06
1.0544926860e-02 -9.3048003796e-04 4.7843778171e-06
1.0554180870e-02 -6.3929934096e-04 4.2167152531e-06
1.0563434066e-02 -4.4388896483e-04 3.3042787238e-06
1.0572691122e-02 -3.3948797660e-04 2.6832779293e-06
1.0581969959e-02 -3.3037848235e-04 3.2890017808e-06
1.0591232454e-02 -4.1891910014e-04 2.2064050756e-06
1.0600514542e-02 -6.1763532783e-04 2.4722153082e-06
1.0609806379e-02 -9.3189044973e-04 3.3210447532e-06
1.0619067212e-02 -1.3589756928e-03 2.1586084259e-06
1.0628331093e-02 -1.8776011835e-03 1.5623664502e-06
1.0637588332e-02 -2.4650660585e-03 7.4453043324e-07
1.0646842969e-02 -3.0798747328e-03 2.0033546229e-06
1.0656096965e-02 -3.6827170023e-03 1.3643599348e-06
1.0665352408e-02 -4.2494150932e-03 -6.2693809868e-07
1.0674607957e-02 -4.7444631279e-03 2.5368705879e-07
1.0683870060e-02 -5.1284943390e-03 4.3743176022e-07
1.0693133627e-02 -5.3842956900e-03 -8.0136345412e-07
1.0702401399e-02 -5.5138852330e-03 -1.2199449158e-07
1.0711770477e-02 -5.5171255732e-03 -4.6101711042e-08
1.0721113156e-02 -5.3985441939e-03 2.5660036261e-07
1.0730477634e-02 -5.1693387797e-03 2.4345436921e-07
1.0739826273e-02 -4.8355419532e-03 -6.9501903760e-07
1.0749094682e-02 -4.3928411974e-03 1.2572712509e-08
1.0758359282e-02 -3.8775803060e-03 5.1028028107e-07
1.0767623237e-02 -3.3382406222e-03 8.0200641345e-07
1.0776878677e-02 -2.8069764190e-03 4.4471645640e-07
1.0786135654e-02 -2.3061070143e-03 3.8886188806e-07
1.0795393726e-02 -1.8421858315e-03 7.4864980964e-07
1.0804653783e-02 -1.4220597100e-03 7.5823175421e-07
1.0813911332e-02 -1.0460404520e-03 -3.1025814246e-07
1.0823172487e-02 -7.2901119903e-04 -1.3758832533e-06
1.0832429574e-02 -4.8320600204e-04 -2.4759685833e-06
1.0841683611e-02 -3.1556643003e-04 -4.4292763767e-06
1.0850939563e-02 -2.4638184373e-04 -3.2820071326e-06
1.0860195524e-02 -2.7682572425e-04 -4.0113842427e-06
1.0869455305e-02 -4.0851758425e-04 -5.5775149636e-06
1.0878720503e-02 -6.4996723079e-04 -4.4667601401e-06
1.0887983439e-02 -1.0066798462e-03 -5.4763323077e-06
1.0897244909e-02 -1.4813796354e-03 -5.7073032717e-06
1.0906515295e-02 -2.0618438200e-03 -4.7844281725e-06
1.0915789483e-02 -2.7148703058e-03 -5.7819529026e-06
1.0925050344e-02 -3.3901323615e-03 -6.9927270210e-06
1.0934307271e-02 -4.0440375913e-03 -7.6871462808e-06
1.0943569261e-02 -4.6445587873e-03 -7.4632327955e-06
