# 1:time 2:hplus 3:hcross
1.0010400000e-02 0.0000000000e+00 0.0000000000e+00
1.0020800000e-02 1.8794734475e-03 2.6482028112e-08
1.0031200000e-02 6.7139120177e-04 -1.0689988735e-06
1.0041600000e-02 8.3301040592e-04 -5.8195817992e-08
1.0052000000e-02 -1.8195151811e-04 1.0157944258e-06
1.0062400000e-02 2.5078624879e-04 2.4956435928e-07
1.0072800000e-02 -3.5863507254e-04 4.5238909621e-07
1.0083200000e-02 -3.7555395558e-03 -3.6622473101e-07
1.0093600000e-02 -4.5530429194e-03 -7.6474845435e-07
1.0104000000e-02 -2.5442885044e-03 -1.3662497984e-06
1.0114400000e-02 -2.5563085699e-03 -8.6926377924e-07
1.0124800000e-02 -4.7345389405e-03 4.9877887829e-07
1.0135200000e-02 -5.6856935097e-03 2.6004142557e-07
1.0145600000e-02 -4.3006371608e-03 9.2103117077e-07
1.0155770551e-02 -2.7399812036e-03 1.2622736375e-06
1.0165086080e-02 -2.6313348974e-03 6.7691179701e-07
1.0174494738e-02 -3.2823833910e-03 8.9313494311e-07
1.0183788694e-02 -3.5411454461e-03 1.0356774595e-06
1.0193056286e-02 -3.1799621326e-03 6.8333008461e-07
1.0202335093e-02 -2.6749987942e-03 -8.6850814180e-08
1.0211636131e-02 -2.3656784884e-03 5.4248931541e-07
1.0220968978e-02 -2.2875339313e-03 -7.9509137825e-08
1.0230260967e-02 -2.3398922035e-03 -1.8177602125e-06
1.0239552087e-02 -2.3558548781e-03 -1.0781935113e-06
1.0248815869e-02 -2.2749879376e-03 -6.5617284774e-07
1.0258071328e-02 -2.1556202619e-03 -1.2724468154e-06
1.0267333611e-02 -2.1659299683e-03 -8.3185887283e-07
1.0276605169e-02 -2.5041281418e-03 -1.0657591684e-08
1.0285860803e-02 -3.0229957491e-03 -1.9720663837e-07
1.0295115037e-02 -3.3831070526e-03 -1.0223396978e-06
1.0304369369e-02 -3.5710464385e-03 -8.5181676101e-07
1.0313623258e-02 -3.8141712492e-03 -4.3134467149e-07
1.0322880598e-02 -4.2268644114e-03 8.2369386346e-07
1.0332145461e-02 -4.6938526498e-03 1.1823089571e-06
1.0341402476e-02 -4.9963113234e-03 4.2964336898e-07
1.0350656002e-02 -5.0624312655e-03 6.4513505510e-08
1.0359912801e-02 -5.0389478777e-03 -7.7921251174e-07
1.0369168848e-02 -5.0717926023e-03 -2.6451417075e-07
1.0378423425e-02 -5.1215000558e-03 3.5284698380e-07
1.0387679047e-02 -5.0362890051e-03 5.3611553919e-07
1.0396931321e-02 -4.7419681280e-03 1.3421345144e-06
1.0406193182e-02 -4.3142203928e-03 1.2539176134e-06
1.0415452487e-02 -3.8840939943e-03 7.6027491810e-07
1.0424706667e-02 -3.4937000359e-03 -2.5271841291e-07
1.0433960909e-02 -3.0908775383e-03 -8.0889800043e-08
1.0443217541e-02 -2.6364709881e-03 1.3444901408e-06
1.0452471432e-02 -2.1560606629e-03 1.4109921703e-06
1.0461724770e-02 -1.6934867371e-03 -4.0280165343e-07
1.0470980336e-02 -1.2594979117e-03 -1.4223636470e-06
1.0480235812e-02 -8.5162320204e-04 -4.2137270211e-07
